nct_id,primary_condition
NCT100004064,Type 2 Diabetes Mellitus
NCT100004065,Rheumatoid Arthritis
NCT100004066,Type 2 Diabetes Mellitus
NCT100004067,Schizophrenia
NCT100004068,Chronic Obstructive Pulmonary Disease
NCT100004069,Breast Cancer
NCT100004070,Chronic Kidney Disease
NCT100004071,Coronary Artery Disease
NCT100004072,Non-Small Cell Lung Cancer
NCT100004073,Parkinson's Disease
NCT100004074,Coronary Artery Disease
NCT100004075,Chronic Kidney Disease
NCT100004076,Psoriasis
NCT100004077,Migraine
NCT100004078,Obesity
NCT100004079,Rheumatoid Arthritis
NCT100004080,Breast Cancer
NCT100004081,Obesity
NCT100004082,Obesity
NCT100004083,Multiple Sclerosis
NCT100004084,HIV Infections
NCT100004085,Schizophrenia
NCT100004086,Parkinson's Disease
NCT100004087,Psoriasis
NCT100004088,Psoriasis
NCT100004089,Coronary Artery Disease
NCT100004090,Alzheimer's Disease
NCT100004091,Alzheimer's Disease
NCT100004092,Major Depressive Disorder
NCT100004093,Asthma
NCT100004094,Obesity
NCT100004095,Type 2 Diabetes Mellitus
NCT100004096,Psoriasis
NCT100004097,Type 2 Diabetes Mellitus
NCT100004098,Major Depressive Disorder
NCT100004099,Multiple Sclerosis
NCT100004100,Asthma
NCT100004101,Chronic Kidney Disease
NCT100004102,Parkinson's Disease
NCT100004103,Obesity
NCT100004104,Ulcerative Colitis
NCT100004105,Osteoarthritis
NCT100004106,Obesity
NCT100004107,Hypertension
NCT100004108,Multiple Sclerosis
NCT100004109,Obesity
NCT100004110,Alzheimer's Disease
NCT100004111,Psoriasis
NCT100004112,Psoriasis
NCT100004113,Rheumatoid Arthritis
NCT100004114,Psoriasis
NCT100004115,Major Depressive Disorder
NCT100004116,Hypertension
NCT100004117,Schizophrenia
NCT100004118,Asthma
NCT100004119,Rheumatoid Arthritis
NCT100004120,Chronic Kidney Disease
NCT100004121,Obesity
NCT100004122,Alzheimer's Disease
NCT100004123,Osteoarthritis
NCT100004124,Parkinson's Disease
NCT100004125,Parkinson's Disease
NCT100004126,Hypertension
NCT100004127,Asthma
NCT100004128,Parkinson's Disease
NCT100004129,Type 2 Diabetes Mellitus
NCT100004130,Type 2 Diabetes Mellitus
NCT100004131,HIV Infections
NCT100004132,Alzheimer's Disease
NCT100004133,Rheumatoid Arthritis
NCT100004134,Non-Small Cell Lung Cancer
NCT100004135,Alzheimer's Disease
NCT100004136,Migraine
NCT100004137,Ulcerative Colitis
NCT100004138,Osteoarthritis
NCT100004139,Alzheimer's Disease
NCT100004140,Coronary Artery Disease
NCT100004141,Rheumatoid Arthritis
NCT100004142,Breast Cancer
NCT100004143,Migraine
NCT100004144,Major Depressive Disorder
NCT100004145,Coronary Artery Disease
NCT100004146,Psoriasis
NCT100004147,Alzheimer's Disease
NCT100004148,Ulcerative Colitis
NCT100004149,Major Depressive Disorder
NCT100004150,Alzheimer's Disease
NCT100004151,Migraine
NCT100004152,Rheumatoid Arthritis
NCT100004153,Hypertension
NCT100004154,Chronic Obstructive Pulmonary Disease
NCT100004155,Major Depressive Disorder
NCT100004156,Ulcerative Colitis
NCT100004157,Obesity
NCT100004158,Osteoarthritis
NCT100004159,Migraine
NCT100004160,Parkinson's Disease
NCT100004161,Hypertension
NCT100004162,Schizophrenia
NCT100004163,Alzheimer's Disease
NCT100004164,Rheumatoid Arthritis
NCT100004165,Parkinson's Disease
NCT100004166,Osteoarthritis
NCT100004167,HIV Infections
NCT100004168,Osteoarthritis
NCT100004169,Asthma
NCT100004170,Obesity
NCT100004171,Schizophrenia
NCT100004172,Parkinson's Disease
NCT100004173,Alzheimer's Disease
NCT100004174,Psoriasis
NCT100004175,Obesity
NCT100004176,Hypertension
NCT100004177,Osteoarthritis
NCT100004178,Chronic Obstructive Pulmonary Disease
NCT100004179,Asthma
NCT100004180,Major Depressive Disorder
NCT100004181,Osteoarthritis
NCT100004182,Alzheimer's Disease
NCT100004183,Multiple Sclerosis
NCT100004184,Osteoarthritis
NCT100004185,Chronic Obstructive Pulmonary Disease
NCT100004186,Non-Small Cell Lung Cancer
NCT100004187,Hypertension
NCT100004188,Obesity
NCT100004189,Chronic Kidney Disease
NCT100004190,Non-Small Cell Lung Cancer
NCT100004191,Major Depressive Disorder
NCT100004192,Parkinson's Disease
NCT100004193,Type 2 Diabetes Mellitus
NCT100004194,Rheumatoid Arthritis
NCT100004195,Asthma
NCT100004196,Hypertension
NCT100004197,Parkinson's Disease
NCT100004198,Coronary Artery Disease
NCT100004199,Non-Small Cell Lung Cancer
NCT100004200,Type 2 Diabetes Mellitus
NCT100004201,Coronary Artery Disease
NCT100004202,Coronary Artery Disease
NCT100004203,Breast Cancer
NCT100004204,Schizophrenia
NCT100004205,Ulcerative Colitis
NCT100004206,Osteoarthritis
NCT100004207,Hypertension
NCT100004208,Multiple Sclerosis
NCT100004209,Asthma
NCT100004210,Chronic Kidney Disease
NCT100004211,Type 2 Diabetes Mellitus
NCT100004212,Obesity
NCT100004213,Hypertension
NCT100004214,Breast Cancer
NCT100004215,Rheumatoid Arthritis
NCT100004216,Non-Small Cell Lung Cancer
NCT100004217,Alzheimer's Disease
NCT100004218,Obesity
NCT100004219,Psoriasis
NCT100004220,Rheumatoid Arthritis
NCT100004221,Psoriasis
NCT100004222,Psoriasis
NCT100004223,Obesity
NCT100004224,Multiple Sclerosis
NCT100004225,HIV Infections
NCT100004226,Osteoarthritis
NCT100004227,Coronary Artery Disease
NCT100004228,Non-Small Cell Lung Cancer
NCT100004229,Obesity
NCT100004230,Hypertension
NCT100004231,HIV Infections
NCT100004232,Multiple Sclerosis
NCT100004233,Chronic Kidney Disease
NCT100004234,Coronary Artery Disease
NCT100004235,Osteoarthritis
NCT100004236,Breast Cancer
NCT100004237,Coronary Artery Disease
NCT100004238,Migraine
NCT100004239,Major Depressive Disorder
NCT100004240,Migraine
NCT100004241,Coronary Artery Disease
NCT100004242,Coronary Artery Disease
NCT100004243,Chronic Kidney Disease
NCT100004244,Hypertension
NCT100004245,Hypertension
NCT100004246,Parkinson's Disease
NCT100004247,Chronic Kidney Disease
NCT100004248,Coronary Artery Disease
NCT100004249,Schizophrenia
NCT100004250,Rheumatoid Arthritis
NCT100004251,Type 2 Diabetes Mellitus
NCT100004252,Psoriasis
NCT100004253,Chronic Kidney Disease
NCT100004254,Migraine
NCT100004255,Psoriasis
NCT100004256,Rheumatoid Arthritis
NCT100004257,Breast Cancer
NCT100004258,Rheumatoid Arthritis
NCT100004259,Schizophrenia
NCT100004260,Chronic Obstructive Pulmonary Disease
NCT100004261,Osteoarthritis
NCT100004262,Rheumatoid Arthritis
NCT100004263,Multiple Sclerosis
NCT100004264,Obesity
NCT100004265,Type 2 Diabetes Mellitus
NCT100004266,Alzheimer's Disease
NCT100004267,Hypertension
NCT100004268,Multiple Sclerosis
NCT100004269,HIV Infections
NCT100004270,Parkinson's Disease
NCT100004271,Parkinson's Disease
NCT100004272,Chronic Kidney Disease
NCT100004273,Rheumatoid Arthritis
NCT100004274,Schizophrenia
NCT100004275,Asthma
NCT100004276,Multiple Sclerosis
NCT100004277,Rheumatoid Arthritis
NCT100004278,Chronic Kidney Disease
NCT100004279,Osteoarthritis
NCT100004280,Non-Small Cell Lung Cancer
NCT100004281,Schizophrenia
NCT100004282,Asthma
NCT100004283,Migraine
NCT100004284,Hypertension
NCT100004285,Rheumatoid Arthritis
NCT100004286,Migraine
NCT100004287,Asthma
NCT100004288,Schizophrenia
NCT100004289,Hypertension
NCT100004290,Major Depressive Disorder
NCT100004291,Major Depressive Disorder
NCT100004292,Type 2 Diabetes Mellitus
NCT100004293,Chronic Kidney Disease
NCT100004294,Asthma
NCT100004295,Alzheimer's Disease
NCT100004296,Rheumatoid Arthritis
NCT100004297,Chronic Kidney Disease
NCT100004298,Chronic Obstructive Pulmonary Disease
NCT100004299,Coronary Artery Disease
NCT100004300,Type 2 Diabetes Mellitus
NCT100004301,Obesity
NCT100004302,Coronary Artery Disease
NCT100004303,Rheumatoid Arthritis
NCT100004304,Type 2 Diabetes Mellitus
NCT100004305,Breast Cancer
NCT100004306,Schizophrenia
NCT100004307,Rheumatoid Arthritis
NCT100004308,Obesity
NCT100004309,Parkinson's Disease
NCT100004310,Osteoarthritis
NCT100004311,Hypertension
NCT100004312,Psoriasis
NCT100004313,Asthma
NCT100004314,Schizophrenia
NCT100004315,Major Depressive Disorder
NCT100004316,Type 2 Diabetes Mellitus
NCT100004317,Ulcerative Colitis
NCT100004318,Asthma
NCT100004319,Chronic Kidney Disease
NCT100004320,Non-Small Cell Lung Cancer
NCT100004321,Obesity
NCT100004322,Multiple Sclerosis
NCT100004323,Ulcerative Colitis
NCT100004324,Schizophrenia
NCT100004325,Rheumatoid Arthritis
NCT100004326,Chronic Obstructive Pulmonary Disease
NCT100004327,HIV Infections
NCT100004328,Breast Cancer
NCT100004329,Ulcerative Colitis
NCT100004330,Osteoarthritis
NCT100004331,Osteoarthritis
NCT100004332,Alzheimer's Disease
NCT100004333,Type 2 Diabetes Mellitus
NCT100004334,Parkinson's Disease
NCT100004335,Ulcerative Colitis
NCT100004336,Rheumatoid Arthritis
NCT100004337,Asthma
NCT100004338,Breast Cancer
NCT100004339,Type 2 Diabetes Mellitus
NCT100004340,Obesity
NCT100004341,Non-Small Cell Lung Cancer
NCT100004342,Osteoarthritis
NCT100004343,Parkinson's Disease
NCT100004344,Asthma
NCT100004345,Non-Small Cell Lung Cancer
NCT100004346,Asthma
NCT100004347,Schizophrenia
NCT100004348,Multiple Sclerosis
NCT100004349,Schizophrenia
NCT100004350,Type 2 Diabetes Mellitus
NCT100004351,Major Depressive Disorder
NCT100004352,Osteoarthritis
NCT100004353,Non-Small Cell Lung Cancer
NCT100004354,Asthma
NCT100004355,Obesity
NCT100004356,Chronic Obstructive Pulmonary Disease
NCT100004357,HIV Infections
NCT100004358,Psoriasis
NCT100004359,Rheumatoid Arthritis
NCT100004360,Chronic Kidney Disease
NCT100004361,Coronary Artery Disease
NCT100004362,Psoriasis
NCT100004363,Type 2 Diabetes Mellitus
NCT100004364,Chronic Obstructive Pulmonary Disease
NCT100004365,Hypertension
NCT100004366,Psoriasis
NCT100004367,Schizophrenia
NCT100004368,Osteoarthritis
NCT100004369,Psoriasis
NCT100004370,Coronary Artery Disease
NCT100004371,Non-Small Cell Lung Cancer
NCT100004372,Multiple Sclerosis
NCT100004373,Multiple Sclerosis
NCT100004374,Schizophrenia
NCT100004375,Obesity
NCT100004376,Asthma
NCT100004377,Type 2 Diabetes Mellitus
NCT100004378,Psoriasis
NCT100004379,Major Depressive Disorder
NCT100004380,Schizophrenia
NCT100004381,Parkinson's Disease
NCT100004382,Non-Small Cell Lung Cancer
NCT100004383,Coronary Artery Disease
NCT100004384,Multiple Sclerosis
NCT100004385,Breast Cancer
NCT100004386,Schizophrenia
NCT100004387,Chronic Kidney Disease
NCT100004388,Major Depressive Disorder
NCT100004389,Coronary Artery Disease
NCT100004390,HIV Infections
NCT100004391,Alzheimer's Disease
NCT100004392,Ulcerative Colitis
NCT100004393,Breast Cancer
NCT100004394,Schizophrenia
NCT100004395,Type 2 Diabetes Mellitus
NCT100004396,Parkinson's Disease
NCT100004397,Major Depressive Disorder
NCT100004398,Alzheimer's Disease
NCT100004399,Alzheimer's Disease
NCT100004400,Psoriasis
NCT100004401,Rheumatoid Arthritis
NCT100004402,Psoriasis
NCT100004403,Type 2 Diabetes Mellitus
NCT100004404,Schizophrenia
NCT100004405,Osteoarthritis
NCT100004406,Breast Cancer
NCT100004407,Type 2 Diabetes Mellitus
NCT100004408,Obesity
NCT100004409,Multiple Sclerosis
NCT100004410,Osteoarthritis
NCT100004411,Ulcerative Colitis
NCT100004412,Chronic Obstructive Pulmonary Disease
NCT100004413,Hypertension
NCT100004414,Schizophrenia
NCT100004415,Non-Small Cell Lung Cancer
NCT100004416,Non-Small Cell Lung Cancer
NCT100004417,Multiple Sclerosis
NCT100004418,Rheumatoid Arthritis
NCT100004419,Chronic Obstructive Pulmonary Disease
NCT100004420,Non-Small Cell Lung Cancer
NCT100004421,Breast Cancer
NCT100004422,Non-Small Cell Lung Cancer
NCT100004423,Chronic Obstructive Pulmonary Disease
NCT100004424,Chronic Kidney Disease
NCT100004425,Parkinson's Disease
NCT100004426,Psoriasis
NCT100004427,Asthma
NCT100004428,Type 2 Diabetes Mellitus
NCT100004429,Alzheimer's Disease
NCT100004430,Chronic Kidney Disease
NCT100004431,Type 2 Diabetes Mellitus
NCT100004432,Chronic Kidney Disease
NCT100004433,Parkinson's Disease
NCT100004434,Schizophrenia
NCT100004435,Major Depressive Disorder
NCT100004436,Breast Cancer
NCT100004437,Alzheimer's Disease
NCT100004438,Chronic Kidney Disease
NCT100004439,Ulcerative Colitis
NCT100004440,Schizophrenia
NCT100004441,Coronary Artery Disease
NCT100004442,HIV Infections
NCT100004443,Non-Small Cell Lung Cancer
NCT100004444,Asthma
NCT100004445,Migraine
NCT100004446,Osteoarthritis
NCT100004447,Parkinson's Disease
NCT100004448,Psoriasis
NCT100004449,Rheumatoid Arthritis
NCT100004450,Chronic Kidney Disease
NCT100004451,Multiple Sclerosis
NCT100004452,HIV Infections
NCT100004453,Non-Small Cell Lung Cancer
NCT100004454,HIV Infections
NCT100004455,Non-Small Cell Lung Cancer
NCT100004456,Parkinson's Disease
NCT100004457,Coronary Artery Disease
NCT100004458,HIV Infections
NCT100004459,Multiple Sclerosis
NCT100004460,Osteoarthritis
NCT100004461,Major Depressive Disorder
NCT100004462,Coronary Artery Disease
NCT100004463,HIV Infections
NCT100004464,Osteoarthritis
NCT100004465,Chronic Obstructive Pulmonary Disease
NCT100004466,Psoriasis
NCT100004467,Schizophrenia
NCT100004468,Ulcerative Colitis
NCT100004469,HIV Infections
NCT100004470,Chronic Obstructive Pulmonary Disease
NCT100004471,Osteoarthritis
NCT100004472,Hypertension
NCT100004473,Migraine
NCT100004474,Asthma
NCT100004475,Rheumatoid Arthritis
NCT100004476,Chronic Kidney Disease
NCT100004477,Non-Small Cell Lung Cancer
NCT100004478,Rheumatoid Arthritis
NCT100004479,Schizophrenia
NCT100004480,Type 2 Diabetes Mellitus
NCT100004481,Migraine
NCT100004482,Ulcerative Colitis
NCT100004483,Breast Cancer
NCT100004484,Psoriasis
NCT100004485,HIV Infections
NCT100004486,Rheumatoid Arthritis
NCT100004487,Hypertension
NCT100004488,Rheumatoid Arthritis
NCT100004489,Ulcerative Colitis
NCT100004490,Osteoarthritis
NCT100004491,Osteoarthritis
NCT100004492,Migraine
NCT100004493,Asthma
NCT100004494,Asthma
NCT100004495,Psoriasis
NCT100004496,Rheumatoid Arthritis
NCT100004497,Rheumatoid Arthritis
NCT100004498,Asthma
NCT100004499,Type 2 Diabetes Mellitus
NCT100004500,Multiple Sclerosis
NCT100004501,Ulcerative Colitis
NCT100004502,Breast Cancer
NCT100004503,Rheumatoid Arthritis
NCT100004504,Major Depressive Disorder
NCT100004505,Osteoarthritis
NCT100004506,Schizophrenia
NCT100004507,Rheumatoid Arthritis
NCT100004508,Osteoarthritis
NCT100004509,Parkinson's Disease
NCT100004510,Psoriasis
NCT100004511,HIV Infections
NCT100004512,HIV Infections
NCT100004513,Coronary Artery Disease
NCT100004514,Hypertension
NCT100004515,Osteoarthritis
NCT100004516,Obesity
NCT100004517,Chronic Obstructive Pulmonary Disease
NCT100004518,HIV Infections
NCT100004519,Multiple Sclerosis
NCT100004520,Type 2 Diabetes Mellitus
NCT100004521,Migraine
NCT100004522,Obesity
NCT100004523,Schizophrenia
NCT100004524,Coronary Artery Disease
NCT100004525,Rheumatoid Arthritis
NCT100004526,Alzheimer's Disease
NCT100004527,Major Depressive Disorder
NCT100004528,Asthma
NCT100004529,Breast Cancer
NCT100004530,Alzheimer's Disease
NCT100004531,Osteoarthritis
NCT100004532,Multiple Sclerosis
NCT100004533,Hypertension
NCT100004534,Asthma
NCT100004535,Type 2 Diabetes Mellitus
NCT100004536,Type 2 Diabetes Mellitus
NCT100004537,Rheumatoid Arthritis
NCT100004538,Non-Small Cell Lung Cancer
NCT100004539,Major Depressive Disorder
NCT100004540,Obesity
NCT100004541,Chronic Obstructive Pulmonary Disease
NCT100004542,Multiple Sclerosis
NCT100004543,Psoriasis
NCT100004544,Ulcerative Colitis
NCT100004545,Multiple Sclerosis
NCT100004546,Alzheimer's Disease
NCT100004547,Non-Small Cell Lung Cancer
NCT100004548,Alzheimer's Disease
NCT100004549,Alzheimer's Disease
NCT100004550,Psoriasis
NCT100004551,Non-Small Cell Lung Cancer
NCT100004552,Multiple Sclerosis
NCT100004553,Psoriasis
NCT100004554,Ulcerative Colitis
NCT100004555,Psoriasis
NCT100004556,Parkinson's Disease
NCT100004557,Major Depressive Disorder
NCT100004558,Rheumatoid Arthritis
NCT100004559,Hypertension
NCT100004560,Multiple Sclerosis
NCT100004561,Multiple Sclerosis
NCT100004562,Psoriasis
NCT100004563,Chronic Obstructive Pulmonary Disease
NCT100004564,Osteoarthritis
NCT100004565,Major Depressive Disorder
NCT100004566,Migraine
NCT100004567,Chronic Kidney Disease
NCT100004568,Psoriasis
NCT100004569,Psoriasis
NCT100004570,Migraine
NCT100004571,Parkinson's Disease
NCT100004572,Coronary Artery Disease
NCT100004573,Ulcerative Colitis
NCT100004574,Chronic Kidney Disease
NCT100004575,Osteoarthritis
NCT100004576,Chronic Obstructive Pulmonary Disease
NCT100004577,Obesity
NCT100004578,Migraine
NCT100004579,Obesity
NCT100004580,Coronary Artery Disease
NCT100004581,Chronic Obstructive Pulmonary Disease
NCT100004582,Psoriasis
NCT100004583,Parkinson's Disease
NCT100004584,Migraine
NCT100004585,Coronary Artery Disease
NCT100004586,Type 2 Diabetes Mellitus
NCT100004587,Type 2 Diabetes Mellitus
NCT100004588,Type 2 Diabetes Mellitus
NCT100004589,Ulcerative Colitis
NCT100004590,Chronic Obstructive Pulmonary Disease
NCT100004591,Type 2 Diabetes Mellitus
NCT100004592,Schizophrenia
NCT100004593,Osteoarthritis
NCT100004594,Chronic Kidney Disease
NCT100004595,Schizophrenia
NCT100004596,Chronic Kidney Disease
NCT100004597,Coronary Artery Disease
NCT100004598,Hypertension
NCT100004599,Ulcerative Colitis
NCT100004600,Obesity
NCT100004601,Chronic Obstructive Pulmonary Disease
NCT100004602,Schizophrenia
NCT100004603,Rheumatoid Arthritis
NCT100004604,Rheumatoid Arthritis
NCT100004605,Non-Small Cell Lung Cancer
NCT100004606,HIV Infections
NCT100004607,Major Depressive Disorder
NCT100004608,Non-Small Cell Lung Cancer
NCT100004609,Breast Cancer
NCT100004610,Major Depressive Disorder
NCT100004611,Multiple Sclerosis
NCT100004612,Coronary Artery Disease
NCT100004613,Hypertension
NCT100004614,Hypertension
NCT100004615,Coronary Artery Disease
NCT100004616,Multiple Sclerosis
NCT100004617,HIV Infections
NCT100004618,Type 2 Diabetes Mellitus
NCT100004619,Ulcerative Colitis
NCT100004620,Psoriasis
NCT100004621,Parkinson's Disease
NCT100004622,Chronic Obstructive Pulmonary Disease
NCT100004623,Schizophrenia
NCT100004624,Alzheimer's Disease
NCT100004625,Chronic Kidney Disease
NCT100004626,Obesity
NCT100004627,Migraine
NCT100004628,Type 2 Diabetes Mellitus
NCT100004629,Major Depressive Disorder
NCT100004630,Non-Small Cell Lung Cancer
NCT100004631,Migraine
NCT100004632,Ulcerative Colitis
NCT100004633,Major Depressive Disorder
NCT100004634,Hypertension
NCT100004635,Multiple Sclerosis
NCT100004636,Major Depressive Disorder
NCT100004637,Obesity
NCT100004638,Coronary Artery Disease
NCT100004639,Non-Small Cell Lung Cancer
NCT100004640,Obesity
NCT100004641,Breast Cancer
NCT100004642,Type 2 Diabetes Mellitus
NCT100004643,Psoriasis
NCT100004644,HIV Infections
NCT100004645,Obesity
NCT100004646,Migraine
NCT100004647,Schizophrenia
NCT100004648,Hypertension
NCT100004649,Chronic Obstructive Pulmonary Disease
NCT100004650,Type 2 Diabetes Mellitus
NCT100004651,Alzheimer's Disease
NCT100004652,Rheumatoid Arthritis
NCT100004653,Psoriasis
NCT100004654,HIV Infections
NCT100004655,Parkinson's Disease
NCT100004656,Rheumatoid Arthritis
NCT100004657,Chronic Kidney Disease
NCT100004658,Breast Cancer
NCT100004659,Hypertension
NCT100004660,Hypertension
NCT100004661,Non-Small Cell Lung Cancer
NCT100004662,Rheumatoid Arthritis
NCT100004663,Ulcerative Colitis
NCT100004664,Osteoarthritis
NCT100004665,Non-Small Cell Lung Cancer
NCT100004666,Alzheimer's Disease
NCT100004667,Hypertension
NCT100004668,Chronic Obstructive Pulmonary Disease
NCT100004669,Chronic Kidney Disease
NCT100004670,Rheumatoid Arthritis
NCT100004671,Obesity
NCT100004672,HIV Infections
NCT100004673,Hypertension
NCT100004674,Migraine
NCT100004675,Asthma
NCT100004676,Asthma
NCT100004677,Non-Small Cell Lung Cancer
NCT100004678,Migraine
NCT100004679,Alzheimer's Disease
NCT100004680,Multiple Sclerosis
NCT100004681,Schizophrenia
NCT100004682,Ulcerative Colitis
NCT100004683,Rheumatoid Arthritis
NCT100004684,Major Depressive Disorder
NCT100004685,Chronic Obstructive Pulmonary Disease
NCT100004686,Multiple Sclerosis
NCT100004687,Alzheimer's Disease
NCT100004688,Psoriasis
NCT100004689,Rheumatoid Arthritis
NCT100004690,Chronic Kidney Disease
NCT100004691,Psoriasis
NCT100004692,Psoriasis
NCT100004693,Breast Cancer
NCT100004694,Ulcerative Colitis
NCT100004695,Ulcerative Colitis
NCT100004696,Type 2 Diabetes Mellitus
NCT100004697,Alzheimer's Disease
NCT100004698,Breast Cancer
NCT100004699,Rheumatoid Arthritis
NCT100004700,Asthma
NCT100004701,Hypertension
NCT100004702,Breast Cancer
NCT100004703,Coronary Artery Disease
NCT100004704,Asthma
NCT100004705,Rheumatoid Arthritis
NCT100004706,Chronic Obstructive Pulmonary Disease
NCT100004707,HIV Infections
NCT100004708,Rheumatoid Arthritis
NCT100004709,Major Depressive Disorder
NCT100004710,Parkinson's Disease
NCT100004711,Non-Small Cell Lung Cancer
NCT100004712,HIV Infections
NCT100004713,Breast Cancer
NCT100004714,Osteoarthritis
NCT100004715,Coronary Artery Disease
NCT100004716,Obesity
NCT100004717,Multiple Sclerosis
NCT100004718,Asthma
NCT100004719,Migraine
NCT100004720,Non-Small Cell Lung Cancer
NCT100004721,Chronic Kidney Disease
NCT100004722,Type 2 Diabetes Mellitus
NCT100004723,Multiple Sclerosis
NCT100004724,Migraine
NCT100004725,Non-Small Cell Lung Cancer
NCT100004726,Migraine
NCT100004727,Coronary Artery Disease
NCT100004728,Multiple Sclerosis
NCT100004729,Asthma
NCT100004730,HIV Infections
NCT100004731,HIV Infections
NCT100004732,Obesity
NCT100004733,Major Depressive Disorder
NCT100004734,Osteoarthritis
NCT100004735,Chronic Obstructive Pulmonary Disease
NCT100004736,Ulcerative Colitis
NCT100004737,Ulcerative Colitis
NCT100004738,Parkinson's Disease
NCT100004739,Osteoarthritis
NCT100004740,Major Depressive Disorder
NCT100004741,Alzheimer's Disease
NCT100004742,Rheumatoid Arthritis
NCT100004743,Ulcerative Colitis
NCT100004744,Osteoarthritis
NCT100004745,Breast Cancer
NCT100004746,Coronary Artery Disease
NCT100004747,Type 2 Diabetes Mellitus
NCT100004748,Chronic Kidney Disease
NCT100004749,HIV Infections
NCT100004750,Non-Small Cell Lung Cancer
NCT100004751,Ulcerative Colitis
NCT100004752,Multiple Sclerosis
NCT100004753,Migraine
NCT100004754,Type 2 Diabetes Mellitus
NCT100004755,HIV Infections
NCT100004756,Breast Cancer
NCT100004757,Asthma
NCT100004758,Alzheimer's Disease
NCT100004759,Migraine
NCT100004760,Rheumatoid Arthritis
NCT100004761,Alzheimer's Disease
NCT100004762,HIV Infections
NCT100004763,Alzheimer's Disease
NCT100004764,Osteoarthritis
NCT100004765,Type 2 Diabetes Mellitus
NCT100004766,Coronary Artery Disease
NCT100004767,Chronic Kidney Disease
NCT100004768,Rheumatoid Arthritis
NCT100004769,HIV Infections
NCT100004770,Migraine
NCT100004771,Breast Cancer
NCT100004772,Type 2 Diabetes Mellitus
NCT100004773,Parkinson's Disease
NCT100004774,Chronic Obstructive Pulmonary Disease
NCT100004775,Non-Small Cell Lung Cancer
NCT100004776,Chronic Kidney Disease
NCT100004777,Osteoarthritis
NCT100004778,Multiple Sclerosis
NCT100004779,HIV Infections
NCT100004780,Type 2 Diabetes Mellitus
NCT100004781,HIV Infections
NCT100004782,Hypertension
NCT100004783,Osteoarthritis
NCT100004784,Major Depressive Disorder
NCT100004785,Obesity
NCT100004786,HIV Infections
NCT100004787,Schizophrenia
NCT100004788,Migraine
NCT100004789,Breast Cancer
NCT100004790,Coronary Artery Disease
NCT100004791,Non-Small Cell Lung Cancer
NCT100004792,Obesity
NCT100004793,HIV Infections
NCT100004794,Migraine
NCT100004795,Obesity
NCT100004796,Schizophrenia
NCT100004797,Rheumatoid Arthritis
NCT100004798,Rheumatoid Arthritis
NCT100004799,HIV Infections
NCT100004800,Obesity
NCT100004801,Chronic Obstructive Pulmonary Disease
NCT100004802,Parkinson's Disease
NCT100004803,Osteoarthritis
NCT100004804,Non-Small Cell Lung Cancer
NCT100004805,Hypertension
NCT100004806,Non-Small Cell Lung Cancer
NCT100004807,Breast Cancer
NCT100004808,Major Depressive Disorder
NCT100004809,Parkinson's Disease
NCT100004810,HIV Infections
NCT100004811,Type 2 Diabetes Mellitus
NCT100004812,Type 2 Diabetes Mellitus
NCT100004813,Breast Cancer
NCT100004814,Alzheimer's Disease
NCT100004815,Asthma
NCT100004816,Multiple Sclerosis
NCT100004817,HIV Infections
NCT100004818,Schizophrenia
NCT100004819,Psoriasis
NCT100004820,Hypertension
NCT100004821,HIV Infections
NCT100004822,Schizophrenia
NCT100004823,Breast Cancer
NCT100004824,Type 2 Diabetes Mellitus
NCT100004825,Hypertension
NCT100004826,Multiple Sclerosis
NCT100004827,Non-Small Cell Lung Cancer
NCT100004828,Asthma
NCT100004829,Major Depressive Disorder
NCT100004830,Hypertension
NCT100004831,Multiple Sclerosis
NCT100004832,Ulcerative Colitis
NCT100004833,Non-Small Cell Lung Cancer
NCT100004834,Obesity
NCT100004835,Breast Cancer
NCT100004836,Parkinson's Disease
NCT100004837,Coronary Artery Disease
NCT100004838,Chronic Kidney Disease
NCT100004839,Parkinson's Disease
NCT100004840,Hypertension
NCT100004841,Rheumatoid Arthritis
NCT100004842,Ulcerative Colitis
NCT100004843,Parkinson's Disease
NCT100004844,Hypertension
NCT100004845,Osteoarthritis
NCT100004846,Obesity
NCT100004847,Chronic Kidney Disease
NCT100004848,Ulcerative Colitis
NCT100004849,Psoriasis
NCT100004850,Chronic Kidney Disease
NCT100004851,HIV Infections
NCT100004852,Major Depressive Disorder
NCT100004853,Type 2 Diabetes Mellitus
NCT100004854,Parkinson's Disease
NCT100004855,Psoriasis
NCT100004856,Hypertension
NCT100004857,Parkinson's Disease
NCT100004858,Coronary Artery Disease
NCT100004859,Psoriasis
NCT100004860,Asthma
NCT100004861,Migraine
NCT100004862,Schizophrenia
NCT100004863,Migraine
NCT100004864,HIV Infections
NCT100004865,Schizophrenia
NCT100004866,Asthma
NCT100004867,Ulcerative Colitis
NCT100004868,Rheumatoid Arthritis
NCT100004869,Rheumatoid Arthritis
NCT100004870,Breast Cancer
NCT100004871,HIV Infections
NCT100004872,Alzheimer's Disease
NCT100004873,Psoriasis
NCT100004874,HIV Infections
NCT100004875,Multiple Sclerosis
NCT100004876,HIV Infections
NCT100004877,Breast Cancer
NCT100004878,Multiple Sclerosis
NCT100004879,Osteoarthritis
NCT100004880,Obesity
NCT100004881,Osteoarthritis
NCT100004882,Ulcerative Colitis
NCT100004883,Coronary Artery Disease
NCT100004884,Alzheimer's Disease
